"","Datetime","Symbol","rv10_ss","open_price","rv5","medrv","rsv_ss","rsv","nobs","rk_th2","bv_ss","rv5_ss","rv10","open_time","open_to_close","close_time","close_price","rk_parzen","bv","rk_twoscale"
"37",2000-03-27,".N225",0.000120080732705899,19976.14,0.000106125102627398,4.59987770708392e-05,3.88531202552155e-05,3.88531202552155e-05,275,0.000115933483265495,9.99608255986063e-05,0.000106125102627398,0.000120080732705899,100101,0.0132245505540318,160101,20242.07,0.000110827795905409,9.99608255986063e-05,0.000113430710514554
"38",2000-03-28,".N225",0.00015066731655882,20273.68,0.000132407484159593,6.70318450007782e-05,5.69715701588672e-05,5.69715701588672e-05,275,0.000118580752331277,0.000119603154610309,0.000132407484159593,0.00015066731655882,100101,0.00563182808841134,160101,20388.18,0.000144518975326261,0.000119603154610309,0.000111678373962824
"39",2000-03-29,".N225",0.000136746121654225,20406.56,0.000112973622502661,1.04197750960614e-05,4.31534397533092e-05,4.31534397533092e-05,258,0.000112513677213738,9.04464300472622e-05,0.000112973622502661,0.000136746121654225,100101,0.0145429476767802,160100,20705.5,0.000126607524413433,9.04464300472622e-05,0.000101622299385235
"40",2000-03-30,".N225",0.000132240918341458,20606.93,9.49896083656447e-05,2.95317706151283e-05,7.09999772926105e-05,7.09999772926105e-05,273,9.6794793767675e-05,7.72247226453077e-05,9.49896083656447e-05,0.000132240918341458,100700,-0.00806027882861038,160459,20441.5,0.00012805388311752,7.72247226453077e-05,7.74141910668811e-05
"41",2000-03-31,".N225",0.000231301455611363,20344.16,0.000166732772614484,3.45327004441518e-05,9.23683270318188e-05,9.23683270318188e-05,275,0.000177462800406362,0.000140791286885049,0.000166732772614484,0.000231301455611363,100400,-0.000322011557344126,160359,20337.61,0.000124316695696445,0.000140791286885049,0.000168121821146074
"42",2000-04-03,".N225",0.000121411531634014,20295.37,0.000116759291586458,1.83681793259926e-05,2.49776379921989e-05,2.49776379921989e-05,256,0.000139493652869063,7.12360706108826e-05,0.000116759291586458,0.000121411531634014,102301,0.0210439344960847,160400,20726.99,0.000171014114933143,7.12360706108826e-05,0.00013778639008178
"43",2000-04-04,".N225",8.70695774642394e-05,20747.82,6.85066558775207e-05,2.70537741135496e-05,4.14007107104412e-05,4.14007107104411e-05,275,7.93314654936472e-05,7.37377657935709e-05,6.85066558775207e-05,8.70695774642394e-05,100101,-0.00633150822404183,160101,20616.87,3.71961861482742e-05,7.37377657935709e-05,7.65456321256962e-05
"44",2000-04-05,".N225",0.000200411858493638,20546.6,0.000172084008647025,2.76849138770201e-05,9.03748145964546e-05,9.03748145964546e-05,275,0.000171753039671365,0.000144850571099788,0.000172084008647025,0.000200411858493638,100101,-0.00394174268187264,160059,20465.77,0.000126002830740857,0.000144850571099788,0.00017828444034024
"45",2000-04-06,".N225",0.000106532441506696,20476.23,0.000147527099352744,5.30903380026986e-05,9.77081928387194e-05,9.77081928387194e-05,275,0.000131882083438386,0.000146837137497156,0.000147527099352744,0.000106532441506696,100101,-0.01322077593335,160059,20207.3,7.30957771870258e-05,0.000146837137497156,0.000132851252329638
"46",2000-04-07,".N225",9.0084676265748e-05,20269.59,0.000101796634724107,9.54042148181937e-06,4.94479655216964e-05,4.94479655216964e-05,275,6.46411239130108e-05,5.34964373572473e-05,0.000101796634724107,9.0084676265748e-05,100101,0.0027087656755338,160059,20324.57,3.89826218831411e-05,5.34964373572473e-05,6.49860868497731e-05
"47",2000-04-10,".N225",0.000108591212092253,20368.81,8.38314722492947e-05,1.33026991211438e-05,1.79156799586961e-05,1.79156799586961e-05,275,6.50587603263099e-05,6.56303010510113e-05,8.38314722492947e-05,0.000108591212092253,100102,0.0132314607682673,160101,20640.11,3.89528471894217e-05,6.56303010510113e-05,5.83177873494312e-05
"48",2000-04-11,".N225",3.59852422108051e-05,20544.4,4.14056881331954e-05,1.52665156273223e-05,1.7970188265289e-05,1.7970188265289e-05,275,3.08863010116423e-05,4.13292214599915e-05,4.14056881331954e-05,3.59852422108051e-05,100102,0.0009530901834367,160101,20563.99,1.87282702035451e-05,4.13292214599915e-05,3.23422557642586e-05
"49",2000-04-12,".N225",0.000110798709616485,20475.96,8.91637362657843e-05,9.18497974941985e-06,1.70194803199821e-05,1.70194803199821e-05,275,8.4551603072926e-05,6.97660412890206e-05,8.91637362657843e-05,0.000110798709616485,100102,0.0166620677924278,160101,20819.99,0.000113464717139892,6.97660412890207e-05,7.4444596302273e-05
"50",2000-04-13,".N225",0.00013455969271852,20736.4,0.000134711893347099,2.07307318388862e-05,8.45323802545454e-05,8.45323802545454e-05,275,0.000110310634342383,7.78887196039905e-05,0.000134711893347099,0.00013455969271852,100101,-0.00968828016222467,160059,20536.47,8.03083824427423e-05,7.78887196039905e-05,0.000107749510775579
"51",2000-04-14,".N225",9.01558637051268e-05,20456.48,0.000104507663965948,4.67090408329696e-05,4.53388399356854e-05,4.53388399356854e-05,275,0.000124260380967019,9.32963006490789e-05,0.000104507663965948,9.01558637051268e-05,100101,-0.00167422029119635,160059,20422.26,9.59436594566554e-05,9.32963006490789e-05,0.000121164060204614
"52",2000-04-17,".N225",0.000581373960210473,19563.21,0.000533375892450832,6.16187597549862e-05,0.000319111849068754,0.000319111849068754,267,0.000573585015678678,0.000517863180115824,0.000533375892450832,0.000581373960210473,101401,-0.0287571489243934,160557,19008.64,0.00161118756492467,0.000517863180115824,0.00050102246136652
"53",2000-04-18,".N225",0.000570656636088526,19089,0.000502661471265944,7.16144687552919e-05,0.000279199858420141,0.000279199858420141,274,0.000483383071631305,0.000484698463677976,0.000502661471265944,0.000570656636088526,100101,-0.00835213774493049,160101,18930.23,0.000711965058627578,0.000484698463677976,0.000456657518312105
"54",2000-04-19,".N225",0.000243167084886009,18998.06,0.000219561593326099,9.90144045442342e-05,0.000121271502096357,0.000121271502096357,275,0.000240841117683698,0.000172235591288148,0.000219561593326099,0.000243167084886009,100102,0.00249188426977653,160100,19045.46,0.00015737641692711,0.000172235591288148,0.000237453135426332
